"date","close","volume","open","high","low"

"2017/02/24","78.9500","2135431.0000","78.9200","79.4300","78.5200"
"2017/02/23","79.8200","1502135.0000","80.5300","80.6000","79.4610"
"2017/02/22","80.2100","2175068.0000","80.0000","80.3618","79.5000"
"2017/02/21","80.5300","2186581.0000","80.8000","81.2700","80.1700"
"2017/02/17","80.6700","1201870.0000","79.9300","80.7400","79.7600"
"2017/02/16","80.7600","2366674.0000","80.5900","81.3500","80.4600"
"2017/02/15","81.9100","1792953.0000","81.7300","82.3100","81.4900"
"2017/02/14","81.4500","3357369.0000","79.2900","81.7800","79.2900"
"2017/02/13","79.2900","1546161.0000","78.5300","79.7500","78.5300"
"2017/02/10","78.1100","1952175.0000","78.2200","78.2500","77.3300"
"2017/02/09","77.9400","1814843.0000","77.5400","78.2500","77.0400"
"2017/02/08","77.3500","2589475.0000","76.8100","77.5000","76.0000"
"2017/02/07","77.5000","2173824.0000","77.6800","77.7100","77.0400"
"2017/02/06","77.3200","1354700.0000","77.0200","77.7800","76.7150"
"2017/02/03","77.5400","2280632.0000","77.0300","77.5400","76.5000"
"2017/02/02","75.9700","2535650.0000","75.6200","76.2700","75.0800"
"2017/02/01","76.3400","2515917.0000","76.8800","77.4300","76.0100"
"2017/01/31","76.2000","2481364.0000","75.9600","76.4200","75.5600"
"2017/01/30","76.2000","2077535.0000","75.8100","76.3200","75.1400"
"2017/01/27","76.0000","2299350.0000","76.5000","76.5700","75.8900"
"2017/01/26","76.5800","4242362.0000","77.1000","77.6600","75.9800"
"2017/01/25","77.8000","6598961.0000","75.0000","78.4000","74.4501"
"2017/01/24","80.5200","2735948.0000","78.8800","80.8700","78.2300"
"2017/01/23","78.5600","1073626.0000","78.7500","79.1600","77.9510"
"2017/01/20","79.0100","1614649.0000","79.0600","79.4100","78.4600"
"2017/01/19","78.7500","2242076.0000","80.2200","80.4000","78.3800"
"2017/01/18","80.1500","2372678.0000","80.2200","80.3850","78.8700"
"2017/01/17","80.2000","2014733.0000","82.1200","82.3900","80.1400"
"2017/01/13","82.9300","2191356.0000","82.5500","83.4900","82.4900"
"2017/01/12","82.0900","2411830.0000","82.9900","82.9900","81.1400"
"2017/01/11","82.8500","3030989.0000","81.0500","82.8900","80.8200"
"2017/01/10","81.3000","2398132.0000","81.4200","82.0800","81.0100"
"2017/01/09","81.3700","1960403.0000","81.8700","82.5100","81.1800"
"2017/01/06","82.4400","2350232.0000","81.9400","82.6800","80.9400"
"2017/01/05","81.6800","2841614.0000","82.2100","82.8900","80.9600"
"2017/01/04","82.2700","3318897.0000","80.7400","82.3900","80.5000"
"2017/01/03","79.2500","1815219.0000","79.0000","79.9300","78.2600"
"2016/12/30","77.7200","1279375.0000","77.6900","78.2200","77.4570"
"2016/12/29","77.6600","1084459.0000","78.0100","78.2900","77.2100"
"2016/12/28","78.4000","1160000.0000","79.3200","79.4400","78.2500"
"2016/12/27","79.0000","1117257.0000","78.9800","79.1200","78.5700"
"2016/12/23","78.6900","1175210.0000","79.0000","79.0000","78.1400"
"2016/12/22","79.0000","1999779.0000","78.9700","79.2200","78.5700"
"2016/12/21","78.8600","1573051.0000","78.9800","79.0700","78.1600"
"2016/12/20","79.0100","2256246.0000","79.0200","79.9100","78.4800"
"2016/12/19","78.3200","2005703.0000","78.6200","78.9500","77.6000"
"2016/12/16","78.6200","2981853.0000","80.2800","80.2800","78.4500"
"2016/12/15","80.0900","2412826.0000","80.0500","80.7200","79.3200"
"2016/12/14","79.3800","2359982.0000","79.3900","80.9100","78.9500"
"2016/12/13","80.0600","1722956.0000","80.6600","80.9300","79.5300"
"2016/12/12","80.2300","1893540.0000","80.5700","81.4900","79.8800"
"2016/12/09","80.5300","2017982.0000","81.1900","81.1900","80.0400"
"2016/12/08","81.4400","1363181.0000","80.7200","81.9100","80.0000"
"2016/12/07","79.9200","2317589.0000","79.4300","79.9650","79.1500"
"2016/12/06","79.6100","2800240.0000","79.8300","79.8600","78.7400"
"2016/12/05","79.1600","2520665.0000","78.9800","79.9400","78.7500"
"2016/12/02","78.4400","3274239.0000","80.0600","80.1100","78.2200"
"2016/12/01","80.3900","2886514.0000","79.1300","80.9900","79.1300"
"2016/11/30","78.8000","2339264.0000","77.7700","78.9600","77.7700"
"2016/11/29","77.0100","1537391.0000","77.0300","77.4000","76.6200"
"2016/11/28","76.8600","1876571.0000","77.8200","78.2200","76.7900"
